time,high
8477,1.0904
8478,1.0914
8479,1.09114
8480,1.09096
8481,1.09112
8482,1.08997
8483,1.08996
8484,1.08747
8485,1.08669
8486,1.0861
8487,1.08556
8488,1.0855
8489,1.0854
8490,1.0867
8491,1.0852
8492,1.0858
8493,1.08603
8494,1.08594
8495,1.0854
8496,1.08464
8497,1.0847
8498,1.0843
8499,1.08497
8500,1.0845
8501,1.08341
8502,1.08315
8503,1.08384
8504,1.0839
8505,1.0864
8506,1.08646
8507,1.08626
8508,1.0869
8509,1.08663
8510,1.0875
8511,1.08742
8512,1.08729
8513,1.08723
8514,1.0869
8515,1.0867
8516,1.0865
8517,1.08638
8518,1.0858
8519,1.0863
8520,1.08691
8521,1.08751
8522,1.0878
8523,1.0884
8524,1.0889
8525,1.08885
8526,1.0894
8527,1.0897
8528,1.0898
8529,1.0911
8530,1.0912
8531,1.0925
8532,1.0924
8533,1.092
8534,1.0921
8535,1.09855
8536,1.10009
8537,1.09911
8538,1.0995
8539,1.10327
8540,1.10272
8541,1.10214
8542,1.10215
8543,1.1021
8544,1.1026
8545,1.10251
8546,1.1022
8547,1.1015
8548,1.1011
8549,1.1006
8550,1.10002
8551,1.10022
8552,1.10044
8553,1.10042
8554,1.09665
8555,1.09396
8556,1.09488
8557,1.0927
8558,1.0923
8559,1.0923
8560,1.0916
8561,1.09161
8562,1.0919
8563,1.0913
8564,1.09051
8565,1.09
8566,1.0896
8567,1.0897
8568,1.0895
8569,1.08983
8570,1.09001
8571,1.0906
8572,1.09075
8573,1.09311
8574,1.0938
8575,1.09371
8576,1.09371
8577,1.09401
8578,1.08714
8579,1.08766
8580,1.08613
8581,1.0837
8582,1.08247
8583,1.08148
8584,1.0805
8585,1.0803
8586,1.0827
8587,1.0827
8588,1.0826
8589,1.0822
8590,1.07924
8591,1.07938
8592,1.07884
8593,1.07893
8594,1.07932
8595,1.07979
8596,1.07946
8597,1.07942
8598,1.0798
8599,1.07985
8600,1.0799
8601,1.0799
8602,1.0799
8603,1.07965
